facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM00081.00,Azovstal,PrJSC Azovstal Iron and Steel Works,,,"Refinery, Smelter",Processing,"Coke, Steel","Coke-Oven, Blast Furnace, Oxygen Furnace",1933.0,,,,,,Ukraine
COM00082.00,Azul,,,,Mine,Other (poly)-metallic,Manganese,Open Pit,1985.0,,,,,,Brazil
COM00083.00,Baal Bone,,,,Mine,Coal,Coal,"Underground, Open pit",,2011.0,,,,,Australia
COM00084.00,Bagdad,,,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1945.0,,,,133.95239,,United States of America
COM00085.00,Baie Comeau Aluminium Smelter,,,,Smelter,Processing,Aluminium,,,,,,,,Canada
COM00086.00,Bakan,,,,Mine,Gold,Gold,Heap leaching plant,2004.0,,,,,581.5,Indonesia
COM00087.00,Balangan,Balangan Coal Companies,,,Mine,Coal,Thermal coal,Open pit,,,,,,75.0,Indonesia
COM00088.00,Bald Mountain,,,,Mine,Gold,Gold,,,,,,,,United States of America
COM00089.00,Balkhash Smelter,Balhashcvetmet; BGMC; Balkhash Mining and Metallurgical Combine,,,Smelter,Processing,Copper cathodes,,,,,,,,Kazakhstan
COM00090.00,Bangun Olahsarana Sukses,"PT. Bangun Olahsarana Sukses, BOS",,,Mine,Coal,Metallurgical coal,,,,,,,,Indonesia
COM00091.00,Bank,,,,Mine,Coal,Thermal coal,,,,,,,,South Africa
COM00092.00,Bao Vista,,,,Mine,Other mine,"Niobium, Phosphates",,,,,,,,Brazil
COM00093.00,Baorixile Mines,"Shenhua Baorixile Energy Co., Shenbao Energy Company",,,Mine,Coal,Lignite,,,,,,,,China
COM00094.00,Baotou Aluminum,Inner Mongolia Huayun,,,Smelter,Processing,Aluminium,,,,,,,,China
COM00095.00,Baotou Mines,Shenhua Baotou Energy Co.,,,Mine,Coal,Thermal coal,,,,,,,,China
COM00096.00,Baralaba,,,,Mine,Coal,"Coal, Thermal coal",Surface,,,,,,,Australia
COM00097.00,Barbacena Ferroalloys plant,,,,Refinery,Processing,"ferro-silicon manganese, ferro-manganese medium carbon","refining furnaces, briquetting plant",,,,,,,Brazil
COM00098.00,Barberton,"Fairview, Sheba, Consort",,,Mine,Gold,Gold,Carbon in Leach plant,,,,,,,South Africa
COM00099.00,Barneys Canyon,,,,Mine,Gold,Gold,,,,,,,,United States of America
COM00100.00,Barro Alto,,,,Mine,Nickel,"Nickel, Manganese",,,,,,,,Brazil
COM00101.00,Barsingsar,,,,Mine,Coal,Lignite,Open pit,,,,,,,India
COM00102.00,Baruun Noyon Uul,BNU,,,Mine,Coal,Thermal coal,,,,,,,,Mongolia
COM00103.00,Barzasskoye tovarischestvo,,,,Mine,Coal,Coking coal,,,,,,,,Russian Federation
COM00104.00,Batu Hijau,,,,Mine,Copper,"Gold, Copper, Silver",Open pit,,,,,,,Indonesia
COM00105.00,Batulicin,Batu Licin,,,Mine,Coal,Coal,Open pit,,2013.0,,,,,Indonesia
COM00106.00,Bauxite Company of Guyana,Bauxite Company of Guyana Inc.,,,Mine,Aluminium,Bauxite,,,,,,,,Guyana
COM00107.00,Bayovar,,,,Mine,Other mine,Phosphate,Open pit,,,,,,,Peru
COM00108.00,Bayside,,,,Smelter,Processing,Aluminium,,,,,,,,South Africa
COM00109.00,Bear Run,,,,Mine,Coal,Thermal coal,Surface,2010.0,,,,,,United States of America
COM00110.00,Beatrix,,,,Mine,Gold,Gold,"Underground, Open pit",1983.0,,,,,,South Africa
COM00111.00,Beauharnois,,,,Smelter,Processing,Aluminium,,,2009.0,,,,,Canada
COM00112.00,Becancour,,,,Smelter,Processing,"Aluminium slab, Billet, T-foundry, Remelt, Molten metal",,1986.0,,,,,,Canada
COM00113.00,Beckley,,,,Mine,Coal,Metallurgical coal,Underground,2007.0,,,,,,United States of America
COM00114.00,Beeshoek,,,,Mine,Iron,Iron,Open pit,,,,,,,South Africa
COM00115.00,Beisu,,,,Mine,Coal,Thermal coal,Underground,1976.0,,,,,,China
COM00116.00,Belfast,,,,Mine,Coal,Thermal coal,Open cut,,,,,,,South Africa
COM00117.00,Bell Bay,,,,Smelter,Processing,"Aluminium slab, molten metal, small form and t-foundry, remelt",,1955.0,,,,,,Australia
COM00118.00,Belmont,"Speidel, Shugert, Buttermilk, Egypt Valley Wildlife",,,Mine,Coal,Bituminous coal,Surface,1999.0,,,,,,United States of America
COM00119.00,Belousovsky,,,,Mine,Copper,"Copper, Zinc, Gold, Silver",,,2012.0,,,,,Kazakhstan
COM00120.00,Beltana,,,,Mine,Coal,Coal,,,,,,,,Australia
COM00121.00,Belval and Differdange steel plant,,,,"Smelter, Refinery",Processing,"Steel, steel sheet piles, railroad rails, heavy angles","Electric arc furnace, continuous slab casters, long section rolling mills, sheet piles rolling mill",,,,,,,Luxembourg
COM00122.00,Bembele,Bembe′ le′,,,Mine,Other (poly)-metallic,Manganese,Open pit,,,,,,,Gabon
COM00123.00,Benga,,,,Mine,Coal,"Thermal coal, Hard coking coal",,2012.0,,,,,,Mozambique
COM00124.00,Bengalla,,,,Mine,Coal,"Thermal coal, Coal",,,,,,,,Australia
COM00125.00,Berezovskaya,,,,Mine,Coal,Metallurgical coal,,1958.0,,,,,,Russian Federation
COM00126.00,Berezovskiy,,,,Mine,Coal,Coking coal,Open pit,,,,,,,Russian Federation
COM00127.00,Bergsöe,,,,Smelter,Processing,"Lead, Lead alloys",,,,,,,,Sweden
COM00128.00,Beulah,,,,Mine,Coal,Lignite,,1963.0,,,,,,United States of America
COM00129.00,Bharat Coking Coal Limited,BCCL,,,Mine,Coal,"Coking coal, Thermal coal","Open pit, Underground",,,,,,,India
COM00130.00,Bibiani,,,,Mine,Gold,Gold,Open pit,,,,,,,Ghana
COM00131.00,Big Mountain,Big Mountain/White's Branch,,,Mine,Coal,"Coal, Thermal coal",Underground,,2012.0,,,,,United States of America
COM00132.00,Big Sky,,,,Mine,Coal,Thermal coal,,,2003.0,,,,,United States of America
COM00133.00,Bingham Canyon,,,,Mine,Copper,"Copper, Gold, Molybdenum, Silver",,,,,,,,United States of America
COM00134.00,Binungan,,,,Mine,Coal,Coal,Open pit,,,,,,,Indonesia
COM00135.00,Birch River,Eastern,,,Mine,Coal,Coal,Surface,,2012.0,,,,,United States of America
COM00136.00,Birchtree,,,,Mine,Nickel,Nickel,,,,,,,,Canada
COM00137.00,Birdwell/Miller Creek,Miller Creek,,,Mine,Coal,Thermal coal,Surface,,,,,,,United States of America
COM00138.00,Black Mesa,,,,Mine,Coal,Thermal coal,,,2005.0,,,,,United States of America
COM00139.00,Black Mountain,,,,Mine,Other (poly)-metallic,"Zinc, Lead, Silver, Copper","Open pit, Underground",1980.0,,,,,,South Africa
COM00140.00,Black Rock,Nchwaning and Gloria,,,Mine,Other (poly)-metallic,Manganese,Underground,,,,,,,South Africa
COM00141.00,Black Thunder,,,,Mine,Coal,Thermal coal,Surface,,,,,,,United States of America
COM00142.00,Blacksville,Blacksville #2,,,Mine,Coal,"Thermal coal, Metallurgical coal",Underground,1970.0,,,,,,United States of America
COM00143.00,Blackwater,,,,Mine,Coal,Metallurgical bituminous coal,Open pit,1967.0,,,,,,Australia
COM00144.00,Blair Athol,,,,Mine,Coal,Thermal coal,,,,,,,,Australia
COM00145.00,Bleomhoek,,,,Mine,Other mine,Gold,,,,Project,2018.0,,,South Africa
COM00146.00,Bloom Lake,,,,Mine,Iron,"Iron, Iron ore pellets",Open pit,2010.0,,,,,,Canada
COM00147.00,Blue Ridge,,,,Mine,Other mine,PGM,,,,Project,2018.0,,,South Africa
COM00148.00,Bluegrass,,,,Mine,Coal,Thermal coal,"Surface, Underground",,2012.0,,,,,United States of America
COM00149.00,Bocaina,Arcos,,,Mine,Other mine,"Limestone, Dolomite",Open pit,,,,,,,Brazil
COM00150.00,Bodai-Daldali,,,,Mine,Aluminium,"Bauxite, Alumina",Open pit,2004.0,,,,,6.3,India
COM00151.00,Boddington,,,,Mine,Gold,"Gold, Copper",Open pit,2009.0,,,,,,Australia
COM00152.00,Boffa,,,,Mine,Other mine,Bauxite,Open pit,,,,,,,Guinea
COM00153.00,Bogatyr,,,,Mine,Coal,Coal,,,,,,,,Kazakhstan
COM00154.00,Boggabri,,,,Mine,Coal,Semi-soft coking coal,Open cut,2006.0,,,,,,Australia
COM00155.00,Bogoslovsk,"Bogoslovsk Alumina Refinery, Bogoslovsk Aluminium Smelter",,,"Refinery, Smelter",Processing,"Alumina, Aluminium trihydrate oxide sand, Soda-sulphate silicate rocks, Aluminium",Bayer process plant,1943.0,,,,,,Russian Federation
COM00156.00,Bokoni,,,,Mine,Other mine,Platinum,,,,,,,,South Africa
COM00157.00,Bolivar,,,,Mine,Copper,"Copper, Zinc, Silver, Gold",Underground,,,,,,68.0,Mexico
COM00158.00,Bolshevik,,,,Mine,Coal,Coking coal,,,,,,,,Russian Federation
COM00159.00,Bonikro,,,,Mine,Gold,"Gold, Silver",Open pit,,,,,,,Cote d'Ivoire
COM00160.00,Bosjesspruit,,,,Mine,Coal,Coal,Underground,,,,,,,South Africa
COM00161.00,Boxitogorsk Alumina Refinery,,,,Refinery,Processing,"Alumina, Corundum products",,1938.0,,,,,,Russian Federation
COM00162.00,Boyne Island,,,,Smelter,Processing,Aluminium,,,,,,,,Australia
