LOM_in_Buckets
11.0
15.0
8.0
10.0
57.0
14.0
51.0
77.0
20.0
5.0
5.0
38.0
17.0
45.0
36.0
76.0
17.0
38.0
14.0
22.0
9.0
63.0
58.0
54.0
17.0
12.0
15.0
6.0
7.0
16.0
38.0
122.0
3.0
38.0
11.0
108.0
71.0
7.0
48.0
17.0
45.0
7.0
45.0
15.0
15.0
111.0
15.0
29.0
11.0
13.0
9.0
43.0
12.0
24.0
53.0
10.0
45.0
45.0
58.0
63.0
5.0
9.0
5.0
4.0
18.0
8.0
18.0
13.0
3.0
11.0
7.0
6.0
9.0
25.0
10.0
6.0
76.0
53.0
28.0
8.0
31.0
48.0
10.0
43.0
4.0
38.0
467.0
14.0
13.0
33.0
31.0
13.0
51.0
33.0
94.0
12.0
43.0
19.0
6.0
8.0
45.0
24.0
45.0
51.0
14.0
110.0
103.0
6.0
5.0
56.0
6.0
12.0
38.0
58.0
32.0
29.0
68.0
12.0
32.0
59.0
25.0
39.0
7.0
71.0
11.0
38.0
13.0
58.0
39.0
3.0
14.0
10.0
56.0
13.0
88.0
6.0
42.0
96.0
11.0
9.0
33.0
45.0
49.0
8.0
42.0
13.0
13.0
4.0
52.0
5.0
13.0
22.0
16.0
65.0
8.0
49.0
31.0
28.0
9.0
13.0
10.0
32.0
12.0
9.0
6.0
11.0
2.0
9.0
5.0
5.0
15.0
7.0
106.0
10.0
12.0
27.0
12.0
11.0
44.0
60.0
10.0
45.0
19.0
55.0
26.0
13.0
52.0
40.0
42.0
10.0
9.0
9.0
17.0
22.0
9.0
58.0
42.0
4.0
28.0
9.0
33.0
97.0
49.0
29.0
72.0
33.0
54.0
65.0
12.0
27.0
15.0
14.0
36.0
49.0
47.0
25.0
14.0
3.0
27.0
52.0
12.0
56.0
15.0
43.0
105.0
12.0
29.0
13.0
22.0
11.0
9.0
14.0
3.0
17.0
13.0
5.0
7.0
10.0
8.0
81.0
38.0
15.0
32.0
21.0
9.0
35.0
12.0
55.0
85.0
45.0
14.0
47.0
14.0
9.0
62.0
44.0
13.0
48.0
5.0
41.0
47.0
10.0
63.0
30.0
8.0
75.0
7.0
18.0
51.0
6.0
62.0
13.0
8.0
3.0
18.0
17.0
36.0
25.0
28.0
12.0
38.0
10.0
15.0
12.0
14.0
12.0
5.0
15.0
65.0
47.0
10.0
62.0
4.0
17.0
12.0
4.0
11.0
18.0
18.0
14.0
1.0
46.0
56.0
68.0
88.0
28.0
49.0
14.0
33.0
24.0
16.0
20.0
11.0
16.0
54.0
15.0
24.0
29.0
33.0
12.0
164.0
