facility_id,facility_name,facility_type,primary_commodity,commodities_products,facility_equipment,country,LOM_in_Buckets,still_operating
COM00558.01,Iluka Western Australia,Mine,Iron,"Zicron, Rutile, Ilmenite",,Australia,2.0,1
COM00583.01,Itabira,Mine,Gold,Iron,Open pit,Brazil,79.0,1
COM00583.02,Itabira,Mine,Gold,Iron,Open pit,Brazil,64.0,1
COM00608.01,Justice Energy,Mine,Coal,Coal,Open pit,United States of America,39.0,1
COM00610.01,Kachkanar GOK,Mine,Iron,Iron ore,Open pit,Russian Federation,58.0,1
COM00610.02,Kachkanar GOK,Mine,Iron,Iron ore,Open pit,Russian Federation,54.0,1
COM00610.03,Kachkanar GOK,Mine,Iron,Iron ore,Open pit,Russian Federation,50.0,1
COM00610.04,Kachkanar GOK,Mine,Iron,Iron ore,Open pit,Russian Federation,6.0,1
COM00619.01,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,23.0,1
COM00619.02,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,62.0,1
COM00619.03,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,66.0,1
COM00619.04,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,60.0,1
COM00619.05,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,52.0,1
COM00619.06,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,57.0,1
COM00619.07,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,48.0,1
COM00619.08,Karaganda,Mine,Coal,Coal,Underground,Kazakhstan,42.0,1
COM00624.01,Katanga Mining Complex,"Mine, Refinery",Copper,"Copper, Cobalt","Underground, Leaching plant",DR Congo,52.0,1
COM00624.02,Katanga Mining Complex,Mine,Copper,"Copper, Cobalt",Open pit,DR Congo,52.0,1
COM00627.01,Kazzinc,Mine,Zinc,Gold,,Kazakhstan,12.0,1
COM00627.05,Kazzinc,Mine,Zinc,,,Kazakhstan,6.0,1
COM00627.08,Kazzinc,Mine,Zinc,"Copper, Zinc, Lead, Gold, Silver",Underground,Kazakhstan,21.0,1
COM00636.01,Keystone,Mine,Coal,Coal,Underground,United States of America,23.0,1
COM00636.02,Keystone,Mine,Coal,Coal,Underground,United States of America,23.0,1
COM00636.03,Keystone,Mine,Coal,Coal,Open pit,United States of America,8.0,1
COM00670.01,Korshunov,Mine,Iron,Iron ore,Open pit,Russian Federation,56.0,1
COM00670.02,Korshunov,Mine,Iron,Iron ore,Open pit,Russian Federation,37.0,1
COM00670.03,Korshunov,Mine,Iron,Iron ore,Open pit,Russian Federation,35.0,1
COM00672.01,Kostromovskaya,Mine,Coal,Coking coal,Underground,Russian Federation,13.0,1
COM00672.02,Kostromovskaya,Mine,Coal,Coking coal,Underground,Russian Federation,3.0,1
COM00678.01,Krasnoyarskkraiugol,Mine,Coal,Coal,Open pit,Russian Federation,30.0,1
