facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM01039.00,PT Mahakam Sumber Jaya,MSJ,,,Mine,Coal,Thermal coal,Open pit,2004.0,,,,,203.8,Indonesia
COM01040.00,PT Mitrabara Adiperdana Tbk,,,,Mine,Coal,Coal,,2008.0,,,,,29.6,Indonesia
COM01041.00,PT Multi Tambangjaya Utama,MUTO,,,Mine,Coal,"Bituminous thermal coal, Bituminous coking coal",Open pit,2016.0,,,,,249.70000000000002,Indonesia
COM01044.00,PT Smelting,,,,"Smelter, Refinery",Processing,"Copper cathode, Copper anode",,1995.0,,,,,,Indonesia
COM01045.00,PT Triaryani,TRA,,,Mine,Coal,Coal,Open pit,2014.0,,,,,21.43,Indonesia
COM01046.00,PT Trisensa Mineral Utama,TMU,,,Mine,Coal,Thermal coal,Open pit,2011.0,,,,,34.14,Indonesia
COM01049.00,PT Tuah Turangga Agung,"TTA, PT Dasa Eka Jasatama, DEJ",,,Company,Coal,"Thermal coal, Coking coal",,2006.0,,,,,,Indonesia
COM01052.00,Pueblo Viejo,,,,Mine,Gold,Gold,Open Pit,2013.0,,,,,,Dominican Republic
COM01058.00,Queensland Alumina,,,,Refinery,Processing,Alumina,,1967.0,,,,,,Australia
COM01060.00,Quiruvilca,,,,Mine,Silver,"Silver, Gold, Zinc, Lead, Copper",Underground,1940.0,,,,,,Peru
COM01061.00,Rajpura Dariba,,,,Mine,Zinc,"Lead, Zinc",Underground,1983.0,,,,,,India
COM01065.00,Raven,"Slones Branch, Lige Hollow",,,Mine,Coal,Coal,Underground,2006.0,,,,,,United States of America
COM01072.00,Red Dog,,,,Mine,Zinc,"Zinc, Lead",Open pit,1989.0,,,,,,United States of America
COM01073.00,Red Hills,Mississippi Lignite Mining Company,,,Mine,Coal,Lignite,Surface,2000.0,,,,,27.680796,United States of America
COM01077.00,Reefton,,,,Mine,Gold,Gold,Open pit,2007.0,2016.0,,,,,New Zealand
COM01080.00,Rend Lake,,,,Mine,Coal,Coal,Underground,1986.0,,,,,,United States of America
COM01088.00,River View Complex,River View Coal,,,Mine,Coal,Coal,Underground,2009.0,,,,,,United States of America
COM01092.00,Robinson Run,,,,Mine,Coal,"Thermal coal, Metallurgical coal",Underground,1966.0,,,,,,United States of America
COM01097.00,Rosebery,,,,Mine,Zinc,"Zinc, Lead, Copper, Gold, Silver",Underground,1936.0,,,,,,Australia
COM01100.00,Rössing,,,,Mine,Other (poly)-metallic,Uranium,Open pit,1976.0,,,,,,Namibia
COM01102.00,Ruashi,,,,Mine,Copper,"Copper, Cobalt, Copper cathode, Cobalt hydroxide","Open cast, SX-EW plant",2007.0,,,,,,DR Congo
COM01104.00,Rudna,,,,Mine,Copper,"Copper, Silver, Lead, Gold",Underground,1974.0,,,,,,Poland
COM01107.00,Safford,,,,Mine,Copper,Copper,"Open pit, SX-EW",2007.0,,,,383.24143,,United States of America
COM01112.00,Salobo,,,,Mine,Copper,"Copper, Gold",Open pit,2012.0,,,,,,Brazil
COM01113.00,Salvador,División Salvador,,,Mine,Copper,"Copper, Copper cathodes, Molybdenum, Gold, Silver","Open pit, Underground",1959.0,,,,,,Chile
COM01114.00,Samarco,,,,Mine,Iron,Iron,Open pit,1977.0,,inactive,2019.0,,,Brazil
COM01117.00,San Bartolome,,,,Mine,Silver,Silver,Open pit,2008.0,,,,,,Bolivia
COM01120.00,San Jose,,,,Mine,Iron,Iron,Open pit,1946.0,,,,,,Mexico
COM01121.00,San Juan,,,,Mine,Coal,Sub-bituminous coal,,1973.0,,,,,,United States of America
COM01123.00,San Julian,,,,Mine,Silver,"Silver, Gold, Lead, Zinc",Underground,2016.0,,,,,,Mexico
COM01127.00,San Miguel,,,,Mine,Coal,Lignite,Surface,1980.0,,,,,,United States of America
COM01134.00,Saraji,,,,Mine,Coal,Metallurgical bituminous coal,Open pit,1974.0,,,,,,Australia
COM01138.00,Saucito,,,,Mine,Silver,"Silver, Gold, Lead, Zinc",Underground,2011.0,,,,,,Mexico
COM01139.00,Savage,Knive River Mine,,,Mine,Coal,Lignite,,1958.0,,,,,,United States of America
COM01142.00,Sayanogorsk Aluminium Smelter,,,,Smelter,Processing,"Aluminium, Aluminium slabs, Aluminium ingots, Aluminium T-bars, Aluminium billets",,1985.0,,,,,,Russian Federation
COM01143.00,Seabee,,,,Mine,Gold,Gold,,1991.0,,,,,,Canada
COM01147.00,Selian,,,,Mine,Coal,Coal,Underground,2013.0,,,,,,China
COM01152.00,Serra Azul,,,,Mine,Iron,Iron,Open pit,1946.0,,,,,3.75,Brazil
COM01158.00,Seruyung,,,,Mine,Gold,Gold,Heap leaching plant,2014.0,,,,,35.6,Indonesia
COM01167.00,Shanxi Huasheng,,,,Smelter,Processing,Aluminium,,2006.0,,,,,,China
COM01169.00,Shanxi New Material,"Shanxi Huaze, Shanxi Branch, Shanxi plant",,,"Refinery, Smelter",Processing,"Alumina, Aluminium",,2003.0,,,,,,China
COM01170.00,Shanxi Zhongrun Aluminium,,,,Smelter,Processing,Aluminium,Electrolytic cells,2015.0,,,,,,China
COM01173.00,Sheerness,,,,Mine,Coal,Sub-bituminous coal,Surface,1984.0,,,,,,Canada
COM01181.00,Shoemaker,,,,Mine,Coal,Coal,Underground,1966.0,,,,,,United States of America
COM01183.00,Shuguang,"Jilin Hunchun Shuguang, Jilin Hunchun Zijin Mining Co, Hunchun Zijin, Hunchun",,,Mine,Gold,"Gold, Copper","Open Pit, Underground",2003.0,,,,,,China
COM01187.00,Sibirginsky,Sibirginskaya,,,Mine,Coal,"Coking coal, Thermal coal","Open pit, Underground",1970.0,,,,,18.8,Russian Federation
COM01188.00,Sierra Gorda,,,,Mine,Copper,"Copper, Molybdenum, Gold",Open pit,2015.0,,,,,,Chile
COM01190.00,Sierrita,,,,Mine,Copper,"Copper, Molybdenum","Open pit, SX-EW",1959.0,,,,188.99023,,United States of America
COM01195.00,Simberi,,,,Mine,Gold,Gold,Open pit,2008.0,,,,,,Papua New Guinea
COM01198.00,Sino Iron,,,,Mine,Iron,Iron ore,Open pit,2013.0,,,,,,Australia
COM01200.00,Sissingue,,,,Mine,Gold,Gold,"Open pit, Carbon in Leach plant",2018.0,,,,,,Cote d'Ivoire
COM01201.00,Skorpion,,,,"Mine, Refinery",Zinc,"Zinc, Zinc ingots",Open pit,2003.0,,,,,,Namibia
COM01204.00,Sohar,,,,Smelter,Processing,Aluminium,,2008.0,,,,,,Oman
COM01209.00,Sossego,,,,Mine,Copper,"Copper, Gold",Open pit,2004.0,,,,,,Brazil
COM01211.00,South Hallsville No. 1,The Sabine Mining Company,,,Mine,Coal,Lignite,Surface,1985.0,,,,,,United States of America
COM01214.00,South Walker Creek,,,,Mine,Coal,Metallurgical bituminous coal,Open pit,1996.0,,,,,,Australia
COM01226.00,Stepnoy,,,,Mine,Coal,Coal,,1993.0,,,,,,Russian Federation
COM01249.00,Taganito HPAL Nickel Corporation,,,,Refinery,Processing,Refined Nickel,High Pressure Acid Leaching plant,2013.0,,,,,,Philippines
COM01253.00,Taldybulak Levoberezhny,"Altynken, Altynken LLC",,,Mine,Gold,Gold,Underground,2006.0,,,,,,Kyrgyzstan
COM01254.00,Tallering Peak,,,,Mine,Iron,Iron ore,,2003.0,2015.0,,,,,Australia
COM01255.00,Tambomayo,,,,Mine,Gold,"Gold, Silver, Lead, Zinc",Underground,2016.0,,,,,,Peru
COM01256.00,Tanami,,,,Mine,Gold,Gold,Underground,1983.0,,,,,,Australia
COM01258.00,Tantahuatay,Coimolache,,,Mine,Gold,"Gold, Silver",Open Pit,2011.0,,,,,,Peru
COM01264.00,Tashan,,,,Mine,Coal,Coal,Underground,2006.0,,,,,,China
COM01268.00,Tayan,,,,"Mine, Refinery",Aluminium,"Bauxite, Chemical grade Alumina, Aluminium hydroxide","Bayer process plant, Open pit",2009.0,,,,,,Indonesia
COM01269.00,Teguh Sinarabadi and Firman Ketaun Perkasa,"TSA, PT Teguh Sinarabadi, FKP, PT Firman Ketaun Perkasa, TSA/FKP",,,Mine,Coal,Bituminous coal,Open pit,2007.0,,,,,162.15,Indonesia
COM01273.00,Tenke Fungurume,"TFM, Tenke",,,Mine,Copper,"Copper, Cobalt",Open pit,2009.0,,,,,,DR Congo
COM01278.00,Thunderbox,TBO,,,Mine,Gold,Gold,,2016.0,,,,,,Australia
COM01280.00,Tianchi,Shanxi Nenghua,,,Mine,Coal,Thermal coal,Underground,2006.0,,,,,,China
COM01281.00,Tiandeng,,,,"Mine, Refinery",Other (poly)-metallic,"Manganese, Electrolytic manganese metal",Open pit,1956.0,,,,,,China
COM01282.00,Tilden,,,,Mine,Iron,"Iron, Iron ore pellets",Open pit,1974.0,,,,,,United States of America
COM01284.00,Timmins West & Bell Creek,,,,Mine,Gold,Gold,Underground,2011.0,,,,,17.12,Canada
COM01288.00,Tomusinsky,,,,Mine,Coal,"Coking coal, Thermal coal",Open pit,1959.0,,,,,6.7,Russian Federation
COM01290.00,Toquepala,,,,Mine,Copper,"Copper, Molybdenum, Copper Cathode, Silver","Open pit, SX-EW plant",1960.0,,,,,,Peru
COM01292.00,Touquoy,Atlantic Gold operation,,,Mine,Gold,Gold,"Open pit, Carbon in Leach circuit",2017.0,,,,,,Canada
COM01295.00,Tritton,Tritton Copper Operations,,,Mine,Copper,"Copper, Gold, Silver",Underground,2004.0,,,,,,Australia
COM01299.00,Tuhup,PT Asmin Koalindo Tuhup,,,Mine,Coal,Metallurgical coal,,2009.0,,,,9.167300000000001,216.3,Indonesia
COM01300.00,Tujuh Bukit,,,,Mine,Gold,"Gold, Copper","Open pit, leaching plant",2017.0,,,,,,Indonesia
COM01302.00,Tunnel Ridge Complex,,,,Mine,Coal,Coal,Underground,2010.0,,,,,,United States of America
COM01303.00,Tuscarawas,"East Canton, Garrett, Schupp, Hunt",,,Mine,Coal,Bituminous coal,Surface,2003.0,,,,,,United States of America
COM01304.00,Tusky,,,,Mine,Other mine,Bituminous coal,Surface,2003.0,,,,,,United States of America
COM01310.00,Two Rivers,,,,Mine,Other (poly)-metallic,"Platinum, Palladium, Rhodium, Ruthenium, Iridium, Gold, Nickel, Copper, Chrome",Underground,2007.0,,,,,,South Africa
COM01311.00,Tyrone,,,,Mine,Copper,Copper,"Open pit, SX-EW",1967.0,,,,125.85858999999999,,United States of America
COM01313.00,Ubuntu,,,,Mine,Coal,Thermal coal,,2020.0,,,,,,South Africa
COM01314.00,Uchucchacua,,,,Mine,Silver,"Silver, Lead, Zinc, Manganese",Underground,1975.0,,,,,,Peru
COM01319.00,United Taconite,,,,Mine,Iron,"Iron, Iron ore pellets",Open pit,1965.0,,,,,,United States of America
COM01321.00,Ural Steel,,,,"Refinery, Smelter",Processing,"Pig Iron, Steel","Sinter Plant, Blast furnace",1955.0,,,,,,Russian Federation
COM01322.00,Urals Works,"Urals Aluminium Smelter, Urals Alumina Refinery",,,"Refinery, Smelter",Processing,"Alumina, Alumina hydrate, Aluminium",Bayer process plant,1939.0,,,,,,Russian Federation
COM01324.00,V.I. Lenina,,,,Mine,Coal,Coking coal,Underground,1953.0,,,,,11.2,Russian Federation
COM01332.00,Ventanas,División Ventanas,,,"Smelter, Refinery",Processing,Copper cathodes,,1964.0,,,,,,Chile
COM01339.00,Vizag,,,,Smelter,Processing,Refined Zinc,"Hydrometallurgical zinc smelter, Sulphuric acid plant",1977.0,2012.0,,,,,India
COM01340.00,Volgograd Aluminium Smelter,,,,Smelter,Processing,"Aluminium, Aluminium ingots, flotation cryolite, anode mass, green and fired anode blocks",,1959.0,,,,,,Russian Federation
COM01342.00,Vorkutaugol,OAO Vorkutaugol,,,Mine,Coal,"Hard coking coal, Semi-soft coking coal, Thermal coal, Coking coal concentrate","Open pit, Underground",1933.0,,,,,,Russian Federation
COM01343.00,VP-8,VP 8,,,Mine,Coal,Coal,Underground,1993.0,,,,,,United States of America
COM01345.00,Wabush,Wabush Scully,,,Mine,Iron,"Iron, Iron ore pellets",Open pit,1965.0,2014.0,,,,,Canada
COM01348.00,Wahana Baratama,"WBM, PT Wahana Baratama Mining",,,Mine,Coal,Bituminous coal,Open pit,2007.0,,,,,78.11,Indonesia
COM01350.00,Waihi,,,,Mine,Gold,Gold,"Open Pit, Underground",1988.0,,,,,,New Zealand
COM01353.00,Warrior Complex,Warrior Coal,,,Mine,Coal,Coal,Underground,1985.0,,,,,,United States of America
COM01358.00,Wenyu,Inner Mongolia Xintai,,,Mine,Coal,Thermal coal,Underground,1997.0,,,,9.4,,China
COM01359.00,Werris Creek,,,,Mine,Coal,Coal,Open cut,2005.0,,active,2020.0,,,Australia
COM01364.00,Western Range Project,"ArcelorMittal Liberia, AMLH",,,Mine,Iron,Iron,Open pit,2011.0,,,,,,Liberia
COM01365.00,Westside,,,,Mine,Coal,Thermal coal,Open pit,1992.0,2012.0,,,,,Australia
COM01366.00,Wetar,Wetar/Morowali,,,Mine,Copper,Copper,"Open pit, SX-EW plant",2010.0,,,,,,Indonesia
COM01368.00,Whim Creek,,,,Mine,Copper,Copper,"Open pit, SX-EW",2005.0,,,,,,Australia
COM01369.00,Whitewood,,,,Mine,Coal,Thermal coal,,1956.0,2010.0,,,,,Canada
COM01373.00,Wilpinjong,,,,Mine,Coal,Thermal coal,Surface,2006.0,,,,,,Australia
COM01374.00,Wiluna,,,,Mine,Gold,Gold,"Open pit, Underground",2016.0,,,,,,Australia
COM01384.00,Xinjiang Jinbao,"Xinjiang Jinbao Mining Company Limited, Xinjiang Jinbao Mengku Iron Mine, Xinjiang Mengku Iron Mine",,,Mine,Iron,Iron ore,,2004.0,,,,,,China
COM01387.00,Yakovlevskiy,"Yakovlevsky GOK, Yakovlev",,,Mine,Iron,Iron,,1997.0,,,,,,Russian Federation
COM01388.00,Yanacocha,,,,Mine,Gold,"Gold, Silver","Open pit, Underground",1993.0,,,,,1218.1169,Peru
COM01390.00,Yandi,Yandi Joint venture,,,Mine,Iron,Iron,Open pit,1992.0,,,,,,Australia
COM01391.00,Yangcun,,,,Mine,Coal,Thermal coal,Underground,1988.0,,,,,,China
COM01396.00,Yarwun,Comalco Alumina Refinery,,,Refinery,Processing,Alumina,,2004.0,,,,,,Australia
COM01399.00,Yauricocha,,,,Mine,Zinc,"Silver, Gold, Zinc, Lead, Copper",Underground,1948.0,,,,,,Peru
COM01415.00,Zarechnaya,North-Polysaevskaya,,,Mine,Coal,Coal,Underground,1953.0,,,,,,Russian Federation
COM01418.00,Zeravshan,"JV Zeravshan LLC, ZGC",,,Mine,Gold,Gold,"Open Pit, Underground",2007.0,,,,,,Tajikistan
COM01419.00,Zhaolou,"Heze Nenghua, Heze Neng Hua Company Ltd.",,,Mine,Coal,Coking coal,Underground,2009.0,,,,,,China
COM01427.00,Zhongzhou Aluminum,"Zhongzhou branch, Chalco Zhongzhou",,,Refinery,Processing,Alumina,,1993.0,,,,,,China
COM01430.00,Zijinshan,Fujian Zijinshan,,,Mine,Gold,"Gold, Copper, Copper cathodes, Silver",Open Pit,1980.0,,,,30.0,,China
COM01432.00,Zinkgruvan,,,,Mine,Zinc,"Lead, Silver, Copper, Zinc",,1857.0,,,,,,Sweden
COM00007.03,AGA Mineracao,,Corrego do Sitio 1,,Mine,Gold,Gold,"Open pit, Underground",1989.0,,,,,,Brazil
COM00007.04,AGA Mineracao,,Corrego do Sitio 2,,Mine,Gold,Gold,"Open pit, Underground",1989.0,,,,,,Brazil
COM00055.01,Anyuan,,Anyuan,,Mine,Coal,Thermal coal,,2004.0,,,,,,China
COM00055.02,Anyuan,,Zhuanlongwan,,Mine,Coal,Thermal coal,,2016.0,,,,,,China
COM00086.01,Bakan,,Bakan,,Mine,Gold,Gold,Heap leaching plant,2013.0,,,,,,Indonesia
COM00086.02,Bakan,,North Lanut,,Mine,Gold,Gold,Heap leaching plant,2004.0,,,,,,Indonesia
COM00125.01,Berezovskaya,,Pervomayskaya,,Mine,Coal,Metallurgical coal,,1975.0,,,,,,Russian Federation
COM00139.02,Black Mountain,,Gamsberg,,Mine,Other (poly)-metallic,"Zinc, Copper, Lead, Silver",Open pit,2019.0,,,,,,South Africa
COM00197.02,Candelaria,,Ojos del Salado,,Mine,Copper,Copper,Underground,1929.0,,,,,63.94102,Chile
COM00210.02,Casa de Pedra,,Engenho,,Mine,Iron,Iron,Open pit,1950.0,,,,,,Brazil
COM00263.01,Cliffs Logan County Coal,,Powellton,,Mine,Coal,Metallurgical coal,Underground,2008.0,,,,,,United States of America
COM00263.02,Cliffs Logan County Coal,,Lower War Eagle,,Mine,Coal,Metallurgical coal,Underground,2012.0,,,,,,United States of America
COM00263.03,Cliffs Logan County Coal,,The Toney Fork,,Mine,Coal,Thermal coal,Open pit,2005.0,,,,,,United States of America
COM00272.01,Codelco Norte,,Chuquicamata,División Chuquicamata,Mine,Copper,"Copper, Copper cathodes, Gold, Silver",Open pit,1997.0,,,,,,Chile
COM00272.02,Codelco Norte,,Radomiro Tomic,División Radomiro Tomic,Mine,Copper,"Copper, Copper cathodes",Open pit,1915.0,,,,,,Chile
COM00317.01,Datong Coal Industry,,Xinzhou Kiln,,Mine,Coal,Coal,Underground,2006.0,,,,,,China
COM00354.01,Duketon,,Garden Well,,Mine,Gold,Gold,,2012.0,,,,,,Australia
COM00354.02,Duketon,,Rosemont,,Mine,Gold,Gold,,2013.0,,,,,,Australia
COM00354.03,Duketon,,Moolart Well,,Mine,Gold,Gold,,2010.0,,,,,,Australia
COM00361.01,Dynamic Energy,,Job 30,,Mine,Coal,Coal,Open pit,1997.0,,,,,,United States of America
COM00361.02,Dynamic Energy,,Ben’s Creek 1 (Frontier),,Mine,Coal,Coal,Underground,2007.0,,,,,,United States of America
COM00417.01,FNI Cagdianao,,CAGA 2,,Mine,Nickel,Nickel,,2014.0,,,,,,Philippines
COM00417.02,FNI Cagdianao,,CAGA 4,,Mine,Nickel,Nickel,,2004.0,,,,,,Philippines
COM00480.01,Gibson Complex,,Gibson South,,Mine,Coal,Coal,Underground,2014.0,,,,,,United States of America
COM00480.02,Gibson Complex,,Gibson North,,Mine,Coal,Coal,Underground,2000.0,,,,,,United States of America
COM00489.01,Goonyella Riverside,,Goonyella,,Mine,Coal,Thermal bituminous coal,Open pit,1971.0,,,,,,Australia
COM00507.01,Guanaco and Amancaya,,Guanaco,,Mine,Gold,Gold,,2010.0,,,,,,Chile
COM00507.02,Guanaco and Amancaya,,Amancaya,,Mine,Gold,Gold,"Open pit, Underground",2017.0,,,,,,Chile
COM00558.01,Iluka Western Australia,,Cataby,,Mine,Iron,"Zicron, Rutile, Ilmenite",,2019.0,,,,,,Australia
COM00583.01,Itabira,,Caue,,Mine,Gold,Iron,Open pit,1942.0,,,,,,Brazil
COM00583.02,Itabira,,Conceicao,,Mine,Gold,Iron,Open pit,1957.0,,,,,,Brazil
COM00608.01,Justice Energy,,Job 38,,Mine,Coal,Coal,Open pit,1982.0,,,,,,United States of America
COM00610.01,Kachkanar GOK,,Glavny,,Mine,Iron,Iron ore,Open pit,1963.0,,,,,,Russian Federation
COM00610.02,Kachkanar GOK,,Zapadny,,Mine,Iron,Iron ore,Open pit,1967.0,,,,,,Russian Federation
COM00610.03,Kachkanar GOK,,Severny,,Mine,Iron,Iron ore,Open pit,1971.0,,,,,,Russian Federation
COM00610.04,Kachkanar GOK,,Yuzhny,,Mine,Iron,Iron ore,Open pit,2015.0,,,,,,Russian Federation
COM00619.01,Karaganda,,Kostenko,Stakhanovskaya,Mine,Coal,Coal,Underground,1998.0,,,,,,Kazakhstan
COM00619.02,Karaganda,,Kuzembaeva,50-letiya SSSR,Mine,Coal,Coal,Underground,1959.0,,,,,,Kazakhstan
COM00619.03,Karaganda,,Saranskaya,"Sokurskaya, Aktasskaya",Mine,Coal,Coal,Underground,1955.0,,,,,,Kazakhstan
COM00619.04,Karaganda,,Abayskaya,Kalinina,Mine,Coal,Coal,Underground,1961.0,,,,,,Kazakhstan
COM00619.05,Karaganda,,Kazakhstanskaya,,Mine,Coal,Coal,Underground,1969.0,,,,,,Kazakhstan
COM00619.06,Karaganda,,Lenina,Naklonnaya no. 1/2,Mine,Coal,Coal,Underground,1964.0,,,,,,Kazakhstan
COM00619.07,Karaganda,,Shakhtinskaya,,Mine,Coal,Coal,Underground,1973.0,,,,,,Kazakhstan
COM00619.08,Karaganda,,Tentekskaya,,Mine,Coal,Coal,Underground,1979.0,,,,,,Kazakhstan
COM00624.01,Katanga Mining Complex,,Kamoto,"Kamoto Copper Company SARL, KCC, KCC SARL","Mine, Refinery",Copper,"Copper, Cobalt","Underground, Leaching plant",1969.0,,,,,,DR Congo
COM00624.02,Katanga Mining Complex,,KOV,,Mine,Copper,"Copper, Cobalt",Open pit,1969.0,,,,,,DR Congo
