id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
16,COM00017.00,2015,O.Al,Me.Al2O3,202668732.19592163,,,filled,
16,COM00017.00,2016,O.Al,Me.Al2O3,200278294.19592163,,,filled,
16,COM00017.00,2017,O.Al,Me.Al2O3,196692637.19592163,,,filled,
16,COM00017.00,2018,O.Al,Me.Al2O3,193106980.19592163,,,filled,
16,COM00017.00,2019,O.Al,Me.Al2O3,188724510.19592163,,,,
17,COM00017.00,2019,O.Al,Nm.SiO2,188724510.19592163,,,,
18,COM00024.00,2014,O.bulk,Me.Ag,5850000.0,,,filled,
18,COM00024.00,2015,O.bulk,Me.Ag,5247000.0,,,filled,
18,COM00024.00,2016,O.bulk,Me.Ag,4368000.0,,,filled,
18,COM00024.00,2017,O.bulk,Me.Ag,3458000.0,,,filled,
18,COM00024.00,2018,O.bulk,Me.Ag,2500000.0,,,,
19,COM00024.00,2018,O.bulk,Me.Cu,2500000.0,,,,
20,COM00024.00,2018,O.bulk,Me.Pb,2500000.0,,,,
21,COM00024.00,2018,O.bulk,Me.Zn,2500000.0,,,,
22,COM00033.00,2018,O.pgm,Me.pgm,103500000.0,428.077799263,4.54,,
23,COM00035.00,2019,M.lat,Me.Co,124500000.0,99600.0,800.0,,
24,COM00035.00,2019,M.lat,Me.Ni,124500000.0,1096000.0,8800.0,,
25,COM00041.00,2018,O.Cu,Me.Cu,1163000000.0,8000000.0,6899.999999999999,,
26,COM00048.00,2001,O.bulk,Me.Ag,778107000.0,,,filled,
26,COM00048.00,2002,O.bulk,Me.Ag,765207000.0,,,filled,
26,COM00048.00,2003,O.bulk,Me.Ag,738459000.0,,,filled,
26,COM00048.00,2004,O.bulk,Me.Ag,712047000.0,,,filled,
26,COM00048.00,2005,O.bulk,Me.Ag,680792000.0,,,filled,
26,COM00048.00,2006,O.bulk,Me.Ag,650448000.0,,,filled,
26,COM00048.00,2007,O.bulk,Me.Ag,620192000.0,,,filled,
26,COM00048.00,2010,O.bulk,Me.Ag,589018000.0,,,filled,
26,COM00048.00,2011,O.bulk,Me.Ag,552511000.0,,,filled,
26,COM00048.00,2012,O.bulk,Me.Ag,514917000.0,,,filled,
26,COM00048.00,2013,O.bulk,Me.Ag,468434000.0,,,filled,
26,COM00048.00,2014,O.bulk,Me.Ag,421395000.0,,,filled,
26,COM00048.00,2015,O.bulk,Me.Ag,370945000.0,,,filled,
26,COM00048.00,2016,O.bulk,Me.Ag,314749000.0,,,filled,
26,COM00048.00,2017,O.bulk,Me.Ag,260704000.0,,,filled,
26,COM00048.00,2018,O.bulk,Me.Ag,489100000.0,,,,
27,COM00048.00,2018,O.bulk,Me.Cu,489100000.0,,,,
28,COM00048.00,2018,O.bulk,Me.Mo,279500000.0,,,,
29,COM00048.00,2018,O.bulk,Me.Zn,209600000.0,,,,
30,COM00050.00,2001,O.bulk,Me.Au,1822478.0,,,filled,
